Region,Turning Pattern
Dari_Anjaneya_Temple,"BC,BD,AD,AC,CD"
Nanjudi_House,"AC,BC,CA,CB"
Buddha_Vihara_Temple,"AB,BA"
Sundaranagar_Entrance,"AB,BA"
ISRO_Junction,"AB,AC,BC,BD"
80ft_Road,"AB,BA"
Stn_HD_1,"BC,BE,DE,DA,FA,FC"
Sty_Wll_Ldge_FIX_3,"AB,BA"
SBI_Bnk_JN_FIX_1,"AB,AC,BA,BC,CA,CB"
SBI_Bnk_JN_FIX_3,"AB,BA"
18th_Crs_BsStp_JN_FIX_2,"AB,BA"
18th_Crs_Bus_Stop_FIX_2,"AB,AD,CD,EB,ED"
Ayyappa_Temple_FIX_1,"AB,BA"
Devasandra_Sgnl_JN_FIX_1,"AB,BA"
Devasandra_Sgnl_JN_FIX_3,"AB,AD,CA,CD,DA,DB"
Mattikere_JN_FIX_1,"AB,AD,CA,CD,DA,DB"
Mattikere_JN_FIX_2,"BC,BD,CA,DA,DC"
Mattikere_JN_FIX_3,"AB,BA"
Mattikere_JN_HD_1,"AC,BA,BD,CA,CD"
HP_Ptrl_Bnk_BEL_Rd_FIX_2,"AB,BA"
Kuvempu_Circle_FIX_1,BA
Kuvempu_Circle_FIX_2,BA
MS_Ramaiah_JN_FIX_1,"AB,AC"
MS_Ramaiah_JN_FIX_2,"BC,BE,BG,DA,DE,DG,FA,FC,FG,HA,HC,HE"
Ramaiah_BsStp_JN_FIX_1,"AB,BA"
Ramaiah_BsStp_JN_FIX_2,"AB,BA"
